Data Date (UTC); LATITUDE; LONGITUDE; JHOUR; GPS_FIX_JHOUR; BP; BPT; SST; AT; RH; SWS; WS; UVWD; WD; HEADING; PITCH; ROLL; VBAT; SBDTIME; TTFF; Report Body
2022-05-13 12:00; 56.438280; -61.473600; 3180.00; 3180.00; 1022.8; -0.6; 0.1; 1.4; 73.0; 2.75; 2.75; 315.6543; 315.6543; 357.5304; 1.4; 4.5; 13.75;30;30; 31B0D80F996666920B0BE0781FE2028871A7A941860A0A31B01E
2022-05-13 09:00; 56.438280; -61.473780; 3177.00; 3177.00; 1023.4; 0.4; 0.0; -0.6; 77.5; 2.75; 2.75; 311.7834; 311.7834; 357.5304; 1.3; 4.5; 13.75;303;10; 31A4D8D03962529B0B0BDDB76FE2018871A7A94185EA6531A40A
2022-05-13 06:00; 56.438280; -61.473600; 3174.00; 3174.00; 1022.9; -0.8; 0.0; -0.7; 79.0; 2.00; 2.00; 298.4112; 298.7631; 357.8823; 1.4; 4.5; 13.75;30;29; 3198D82F7962519E0808D4351FE6028871A7A941860A0A31981D
2022-05-13 06:00; 56.438280; -61.473600; 3174.00; 3174.00; 1022.9; -0.8; 0.0; -0.7; 79.0; 2.00; 2.00; 298.4112; 298.7631; 357.8823; 1.4; 4.5; 13.75;30;29; 3198D82F7962519E0808D4351FE6028871A7A941860A0A31981D
2022-05-13 03:00; 56.438280; -61.473600; 3171.00; 3171.00; 1023.7; 1.0; 0.1; 0.5; 75.5; 4.25; 4.25; 306.1530; 306.1530; 357.5304; 1.3; 4.5; 13.75;30;12; 318CD93099665D971111D9B66FE2018871A7A941860A0A318C0C
2022-05-13 00:00; 56.438100; -61.473600; 3168.00; 3168.00; 1022.7; 1.7; 0.2; 1.3; 71.5; 5.25; 5.25; 301.2264; 301.2264; 357.1785; 1.4; 4.5; 13.75;30;31; 3180D7F1096A658F1515D6358FDE028871A7A541860A0A31801F
2022-05-12 21:00; 56.438280; -61.473600; 3165.00; 3165.00; 1021.0; 1.3; 0.3; 2.8; 68.5; 10.75; 10.75; 306.8568; 307.2087; 357.5304; 1.9; 5.2; 13.75;30;11; 3174D5D0C96E74892B2BDA369FE2078A31A7A941860A0A31740B
2022-05-12 18:00; 56.438100; -61.473600; 3162.00; 3162.00; 1019.7; 0.7; 0.4; 3.5; 69.0; 7.00; 7.00; 309.3201; 309.3201; 356.8266; 0.5; 4.3; 13.75;30;30; 3168D43069727B8A1C1CDBF6FFD9F987F1A7A541860A0A31681E
2022-05-12 15:00; 56.438100; -61.473600; 3159.00; 3159.00; 1019.0; 3.6; 0.3; 3.5; 65.5; 7.00; 7.00; 315.3024; 315.3024; 355.7709; 1.3; 3.5; 13.75;30;28; 315CD352396E7B831C1CE0380FCE0185F1A7A541860A0A315C1C
2022-05-12 12:00; 56.438100; -61.473600; 3156.00; 3156.00; 1015.4; 4.2; 0.2; 2.5; 68.5; 11.75; 11.75; 329.0265; 329.0265; 354.0114; 3.0; 3.4; 13.75;30;29; 3150CED2996A71892F2FE9FA7FBA1285B1A7A541860A0A31501D
