Data Date (UTC); LATITUDE; LONGITUDE; JHOUR; GPS_FIX_JHOUR; SST; T1; T2; T3; T4; T5; T6; DEPTH45; DEPTH80; VBAT; TTFF; SBDTIME; FMTID; Report Body
2020-05-22 19:00; 56.540520; -61.700400; 3427.00; 3426.00; 0.3410; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 0.0000; 0.0000; 14.40; 31.5; 105.0;10; A358C3588C6C22503A20AA3000000029BAFFFFFFFFFFFFFFFFFFFFFFFF2710271000000000BC
2020-05-22 18:00; 56.540520; -61.700400; 3426.00; 3426.00; -0.0335; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 0.0000; 0.0000; 14.40; 31.5; 30.0;10; A35883588C6C22503A20A8A000000026CDFFFFFFFFFFFFFFFFFFFFFFFF2710271000000000BC
2020-05-22 17:00; 56.440620; -61.472880; 3425.00; 3423.00; -0.0885; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 0.0000; 0.0000; 14.40; 30.0; 30.0;10; A3584357CC69F75061A0A0A0000000265FFFFFFFFFFFFFFFFFFFFFFFFF2710271000000000BC
2020-05-22 16:00; 56.440620; -61.472880; 3424.00; 3423.00; 0.4510; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 27.7675; 0.0000; 0.0000; 14.40; 30.0; 30.0;10; A3580357CC69F75061A0A0A00000002A96FFFFFFFFFFFFFFFFFFFFFFFF2710271000000000BC
2020-05-22 15:00; 56.440620; -61.472880; 3423.00; 3423.00; 0.9115; -1.5975; -1.6520; -1.6580; -1.6565; -1.6515; -1.6515; 0.0000; 0.0000; 14.40; 30.0; 30.0;10; A357C357CC69F75061A0A0A00000002E2F1A951A281A1C1A1F1A291A292710271000000000BC
2020-05-22 14:00; 56.440620; -61.472880; 3422.00; 3420.00; 1.8655; -1.6020; -1.6365; -1.6455; -1.6510; -1.6675; -1.6695; 0.0000; 0.0000; 14.40; 31.5; 30.0;10; A35783570C69F75061A0A8A000000035A31A8C1A471A351A2A1A091A052710271000000000BC
2020-05-22 13:00; 56.440620; -61.472880; 3421.00; 3420.00; 1.6925; -1.6170; -1.6340; -1.6575; -1.6600; -1.6585; -1.6545; 0.0000; 0.0000; 14.45; 31.5; 30.0;10; A35743570C69F75061A0A8A000000034491A6E1A4C1A1D1A181A1B1A232710271000000000BD
2020-05-22 12:00; 56.440620; -61.472880; 3420.00; 3420.00; 1.2550; -1.6300; -1.6435; -1.6405; -1.6475; -1.6485; -1.6500; 0.0000; 0.0000; 14.45; 31.5; 30.0;10; A35703570C69F75061A0A8A000000030DE1A541A391A3F1A311A2F1A2C2710271000000000BD
2020-05-22 11:00; 56.440620; -61.472880; 3419.00; 3417.00; 1.0220; -1.5975; -1.6310; -1.6510; -1.6520; -1.6615; -1.6630; 0.0000; 0.0000; 14.45; 7.5; 30.0;10; A356C3564C69F75061A028A00000002F0C1A951A521A2A1A281A151A122710271000000000BD
2020-05-22 10:00; 56.440620; -61.472880; 3418.00; 3417.00; 0.7785; -1.6005; -1.6430; -1.6520; -1.6690; -1.6675; -1.6685; 0.0000; 0.0000; 14.45; 7.5; 30.0;10; A35683564C69F75061A028A00000002D251A8F1A3A1A281A061A091A072710271000000000BD
