date,SLEV
2018-04-18 4:00,0.94
2018-04-18 5:00,0.42
2018-04-18 6:00,0.12
2018-04-18 7:00,0.12
2018-04-18 8:00,0.38
2018-04-18 9:00,0.81
2018-04-18 10:00,1.38
2018-04-18 11:00,1.94
2018-04-18 12:00,2.27
2018-04-18 13:00,2.23
2018-04-18 14:00,1.98
2018-04-18 15:00,1.58
2018-04-18 16:00,1.06
2018-04-18 17:00,0.55
2018-04-18 18:00,0.22
2018-04-18 19:00,0.24
2018-04-18 20:00,0.48
2018-04-18 21:00,0.9
2018-04-18 22:00,1.47
2018-04-18 23:00,2.05
2018-04-19 0:00,2.49
2018-04-19 1:00,2.58
2018-04-19 2:00,2.36
2018-04-19 3:00,1.98
2018-04-19 4:00,1.48
2018-04-19 5:00,0.91
2018-04-19 6:00,0.44
2018-04-19 7:00,0.24
2018-04-19 8:00,0.37
2018-04-19 9:00,0.66
2018-04-19 10:00,1.07
2018-04-19 11:00,1.61
2018-04-19 12:00,2.08
2018-04-19 13:00,2.28
2018-04-19 14:00,2.16
2018-04-19 15:00,1.87
2018-04-19 16:00,1.45
2018-04-19 17:00,0.95
2018-04-19 18:00,0.48
2018-04-19 19:00,0.25
2018-04-19 20:00,0.36
2018-04-19 21:00,0.63
2018-04-19 22:00,1.04
2018-04-19 23:00,1.55
2018-04-20 0:00,2.07
2018-04-20 1:00,2.41
2018-04-20 2:00,2.41
2018-04-20 3:00,2.18
2018-04-20 4:00,1.79
2018-04-20 5:00,1.29
2018-04-20 6:00,0.77
2018-04-20 7:00,0.38
2018-04-20 8:00,0.27
2018-04-20 9:00,0.42
2018-04-20 10:00,0.69
2018-04-20 11:00,1.1
2018-04-20 12:00,1.58
2018-04-20 13:00,1.96
2018-04-20 14:00,2.05
2018-04-20 15:00,1.91
2018-04-20 16:00,1.63
2018-04-20 17:00,1.25
2018-04-20 18:00,0.81
2018-04-20 19:00,0.43
2018-04-20 20:00,0.29
2018-04-20 21:00,0.43
2018-04-20 22:00,0.71
2018-04-20 23:00,1.1
2018-04-21 0:00,1.58
2018-04-21 1:00,2.03
2018-04-21 2:00,2.26
2018-04-21 3:00,2.2
2018-04-21 4:00,1.99
2018-04-21 5:00,1.64
2018-04-21 6:00,1.2
2018-04-21 7:00,0.76
2018-04-21 8:00,0.47
2018-04-21 9:00,0.4
2018-04-21 10:00,0.53
2018-04-21 11:00,0.78
2018-04-21 12:00,1.16
2018-04-21 13:00,1.55
2018-04-21 14:00,1.82
2018-04-21 15:00,1.87
2018-04-21 16:00,1.75
2018-04-21 17:00,1.52
2018-04-21 18:00,1.19
2018-04-21 19:00,0.83
2018-04-21 20:00,0.53
2018-04-21 21:00,0.47
2018-04-21 22:00,0.62
2018-04-21 23:00,0.85
2018-04-22 0:00,1.18
2018-04-22 1:00,1.58
2018-04-22 2:00,1.94
2018-04-22 3:00,2.13
2018-04-22 4:00,2.09
2018-04-22 5:00,1.91
2018-04-22 6:00,1.61
2018-04-22 7:00,1.24
2018-04-22 8:00,0.88
2018-04-22 9:00,0.63
2018-04-22 10:00,0.55
2018-04-22 11:00,0.63
2018-04-22 12:00,0.84
2018-04-22 13:00,1.15
2018-04-22 14:00,1.46
2018-04-22 15:00,1.68
2018-04-22 16:00,1.73
2018-04-22 17:00,1.68
2018-04-22 18:00,1.52
2018-04-22 19:00,1.24
2018-04-22 20:00,0.91
2018-04-22 21:00,0.66
2018-04-22 22:00,0.58
2018-04-22 23:00,0.65
2018-04-23 0:00,0.82
2018-04-23 1:00,1.11
2018-04-23 2:00,1.45
2018-04-23 3:00,1.75
2018-04-23 4:00,1.93
2018-04-23 5:00,1.97
2018-04-23 6:00,1.86
2018-04-23 7:00,1.62
2018-04-23 8:00,1.3
2018-04-23 9:00,0.97
2018-04-23 10:00,0.74
2018-04-23 11:00,0.63
2018-04-23 12:00,0.66
2018-04-23 13:00,0.81
2018-04-23 14:00,1.05
2018-04-23 15:00,1.34
2018-04-23 16:00,1.57
2018-04-23 17:00,1.7
2018-04-23 18:00,1.7
2018-04-23 19:00,1.58
2018-04-23 20:00,1.36
2018-04-23 21:00,1.07
2018-04-23 22:00,0.82
2018-04-23 23:00,0.68
2018-04-24 0:00,0.71
2018-04-24 1:00,0.84
2018-04-24 2:00,1.07
2018-04-24 3:00,1.35
2018-04-24 4:00,1.65
2018-04-24 5:00,1.88
2018-04-24 6:00,1.98
2018-04-24 7:00,1.93
2018-04-24 8:00,1.75
2018-04-24 9:00,1.45
2018-04-24 10:00,1.11
2018-04-24 11:00,0.82
2018-04-24 12:00,0.64
2018-04-24 13:00,0.62
2018-04-24 14:00,0.74
2018-04-24 15:00,0.96
2018-04-24 16:00,1.24
2018-04-24 17:00,1.52
2018-04-24 18:00,1.72
2018-04-24 19:00,1.8
